text,tactic
"steal or forge kerberos tickets adversaries may attempt to subvert kerberos authentication by stealing or forging kerberos tickets to enable pass the ticket kerberos is an authentication protocol widely used in modern windows domain environments in kerberos environments, referred to as “realms”, there are three basic participants: client, service, and key distribution center kd linux macos windows",credential-access
"credentials from password stores adversaries may search for common password storage locations to obtain user credentials citation: f secure the dukes passwords are stored in several places on a system, depending on the operating system or application holding the credentials there are also specific applications and services that store passwords to make them easier for users to manage and maintain, such as password managers and iaas linux macos windows",credential-access
"exfiltration over web service adversaries may use an existing, legitimate external web service to exfiltrate data rather than their primary command and control channel popular web services acting as an exfiltration mechanism may give a significant amount of cover due to the likelihood that hosts within a network are already communicating with them prior to compromise firewall rules may also already exist to permit traffic to esxi linux macos office suite saas windows",exfiltration
"remote access tools an adversary may use legitimate remote access tools to establish an interactive command and control channel within a network remote access tools create a session between two trusted hosts through a graphical interface, a command line interaction, a protocol tunnel via development or management software, or hardware level access such as kvm keyboard, video, mouse over ip solutions desktop suppo linux macos windows",command-and-control
"domains adversaries may acquire domains that can be used during targeting domain names are the human readable names used to represent one or more ip addresses they can be purchased or, in some cases, acquired for free adversaries may use acquired domains for a variety of purposes, including for phishing drive by compromise pre",resource-development
"archive via library an adversary may compress or encrypt data that is collected prior to exfiltration using 3rd party libraries many libraries exist that can archive data, including python rarfile citation: pypi rar , libzip citation: libzip , and zlib citation: zlib github most libraries include functionality to encrypt and or compress data some archival libra linux macos windows",collection
"thread execution hijacking adversaries may inject malicious code into hijacked processes in order to evade process based defenses as well as possibly elevate privileges thread execution hijacking is a method of executing arbitrary code in the address space of a separate live process thread execution hijacking is commonly performed by suspending an existing process then unmapping hollowing its memory, which can then be r windows",defense-evasion
"thread execution hijacking adversaries may inject malicious code into hijacked processes in order to evade process based defenses as well as possibly elevate privileges thread execution hijacking is a method of executing arbitrary code in the address space of a separate live process thread execution hijacking is commonly performed by suspending an existing process then unmapping hollowing its memory, which can then be r windows",privilege-escalation
"social engineering adversaries may use social engineering techniques to influence users to take actions that result in unauthorized access, approval of changes, disclosure of sensitive information, or execution of adversary supplied instructions i e , introduction of malicious payloads or software , while minimizing technical indicators adversaries may leverage trust building methods across multiple channels e linux macos office suite saas windows",defense-evasion
"masquerading adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and or security tools masquerading occurs when the name or location of an object, legitimate or malicious, is manipulated or abused for the sake of evading defenses and observation this may include manipulating file metadata, tricking users into misidentifying the file type, and gi containers esxi linux macos windows",defense-evasion
"application shimming adversaries may establish persistence and or elevate privileges by executing malicious content triggered by application shims the microsoft windows application compatibility infrastructure framework application shim was created to allow for backward compatibility of software as the operating system codebase changes over time for example, the application shimming feature allows developers to ap windows",privilege-escalation
"application shimming adversaries may establish persistence and or elevate privileges by executing malicious content triggered by application shims the microsoft windows application compatibility infrastructure framework application shim was created to allow for backward compatibility of software as the operating system codebase changes over time for example, the application shimming feature allows developers to ap windows",persistence
"unsecured credentials adversaries may search compromised systems to find and obtain insecurely stored credentials these credentials can be stored and or misplaced in many locations on a system, including plaintext files e g shell history operating system or application specific repositories e g credentials in registry windows saas iaas linux macos containers network devices office suite identity provider",credential-access
"port monitors adversaries may use port monitors to run an adversary supplied dll during system boot for persistence or privilege escalation a port monitor can be set through the <code>addmonitor< code> api call to set a dll to be loaded at startup citation: addmonitor this dll can be located in <code>c:\windows\system32< code> and will be loaded and run by the print spooler service, , under syst windows",persistence
"port monitors adversaries may use port monitors to run an adversary supplied dll during system boot for persistence or privilege escalation a port monitor can be set through the <code>addmonitor< code> api call to set a dll to be loaded at startup citation: addmonitor this dll can be located in <code>c:\windows\system32< code> and will be loaded and run by the print spooler service, , under syst windows",privilege-escalation
"clear mailbox data adversaries may modify mail and mail application data to remove evidence of their activity email applications allow users and other programs to export and delete mailbox data via command line tools or use of apis mail application data can be emails, email metadata, or logs generated by the application or operating system, such as export requests adversaries may manipulate emails and mailbox d linux macos office suite windows",defense-evasion
login hook adversaries may use a login hook to establish persistence executed upon user logon a login hook is a plist file that points to a specific script to execute with root privileges upon user logon the plist file is located in the <code> library preferences com apple loginwindow plist< code> file and can be modified using the <code>defaults< code> command line utility this behavior is the same for l macos,persistence
login hook adversaries may use a login hook to establish persistence executed upon user logon a login hook is a plist file that points to a specific script to execute with root privileges upon user logon the plist file is located in the <code> library preferences com apple loginwindow plist< code> file and can be modified using the <code>defaults< code> command line utility this behavior is the same for l macos,privilege-escalation
"content injection adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic rather than luring victims to malicious payloads hosted on a compromised website i e , drive by target followed by drive by compromise adversaries may initia linux macos windows",initial-access
"content injection adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic rather than luring victims to malicious payloads hosted on a compromised website i e , drive by target followed by drive by compromise adversaries may initia linux macos windows",command-and-control
"process injection adversaries may inject code into processes in order to evade process based defenses as well as possibly elevate privileges process injection is a method of executing arbitrary code in the address space of a separate live process running code in the context of another process may allow access to the process's memory, system network resources, and possibly elevated privileges execution via proces linux macos windows",defense-evasion
"process injection adversaries may inject code into processes in order to evade process based defenses as well as possibly elevate privileges process injection is a method of executing arbitrary code in the address space of a separate live process running code in the context of another process may allow access to the process's memory, system network resources, and possibly elevated privileges execution via proces linux macos windows",privilege-escalation
"exfiltration over webhook adversaries may exfiltrate data to a webhook endpoint rather than over their primary command and control channel webhooks are simple mechanisms for allowing a server to push data over http s to a client without the need for the client to continuously poll the server citation: redhat webhooks many public and commercial services, such as discord, slack, and , support the creation of esxi linux macos office suite saas windows",exfiltration
"traffic signaling adversaries may use traffic signaling to hide open ports or other malicious functionality used for persistence or command and control traffic signaling involves the use of a magic value or sequence that must be sent to a system to trigger a special response, such as opening a closed port or executing a malicious task this may take the form of sending a series of packets with certain characterist linux macos network devices windows",defense-evasion
"traffic signaling adversaries may use traffic signaling to hide open ports or other malicious functionality used for persistence or command and control traffic signaling involves the use of a magic value or sequence that must be sent to a system to trigger a special response, such as opening a closed port or executing a malicious task this may take the form of sending a series of packets with certain characterist linux macos network devices windows",persistence
"traffic signaling adversaries may use traffic signaling to hide open ports or other malicious functionality used for persistence or command and control traffic signaling involves the use of a magic value or sequence that must be sent to a system to trigger a special response, such as opening a closed port or executing a malicious task this may take the form of sending a series of packets with certain characterist linux macos network devices windows",command-and-control
direct cloud vm connections adversaries may leverage valid accounts to log directly into accessible cloud hosted compute infrastructure through cloud native methods many cloud providers offer interactive connections to virtual infrastructure that can be accessed through the cloud api such as azure serial console citation: azure se iaas,lateral-movement
"system binary proxy execution adversaries may bypass process and or signature based defenses by proxying execution of malicious content with signed, or otherwise trusted, binaries binaries used in this technique are often microsoft signed files, indicating that they have been either downloaded from microsoft or are already native in the operating system citation: lolbas project binaries signed with trusted digital certifica linux macos windows",defense-evasion
"timestomp adversaries may modify file time attributes to hide new files or changes to existing files timestomping is a technique that modifies the timestamps of a file the modify, access, create, and change times , often to mimic files that are in the same folder and blend malicious files with legitimate files in windows systems, both the and attribut esxi linux macos windows",defense-evasion
evil twin adversaries may host seemingly genuine wi fi access points to deceive users into connecting to malicious networks as a way of supporting follow on behaviors such as network sniffing transmitted data manipulation or input capture australia ‘evil twi network devices,credential-access
evil twin adversaries may host seemingly genuine wi fi access points to deceive users into connecting to malicious networks as a way of supporting follow on behaviors such as network sniffing transmitted data manipulation or input capture australia ‘evil twi network devices,collection
"reflective code loading adversaries may reflectively load code into a process in order to conceal the execution of malicious payloads reflective loading involves allocating then executing payloads directly within the memory of the process, vice creating a thread or process backed by a file path on disk e g , shared modules reflectively loaded payloads may be compiled bina linux macos windows",defense-evasion
"wi fi discovery adversaries may search for information about wi fi networks, such as network names and passwords, on compromised systems adversaries may use wi fi information as part of account discovery remote system discovery and other discovery or credential access activity to linux windows macos",discovery
"mutual exclusion adversaries may constrain execution or actions based on the presence of a mutex associated with malware a mutex is a locking mechanism used to synchronize access to a resource only one thread or process can acquire a mutex at a given time citation: microsoft mutexes while local mutexes only exist within a given process, allowing multiple threads to synchronize access to a resource, system mut linux macos windows",defense-evasion
"ignore process interrupts adversaries may evade defensive mechanisms by executing commands that hide from process interrupt signals many operating systems use signals to deliver messages to control process behavior command interpreters often include specific commands flags that ignore errors and other hangups, such as when the user of the active session logs off citation: linux signal man these interrupt signals may a linux macos windows",defense-evasion
"escape to host adversaries may break out of a container or virtualized environment to gain access to the underlying host this can allow an adversary access to other containerized or virtualized resources from the host level or to the host itself in principle, containerized virtualized resources should provide a clear separation of application functionality and be isolated from the host environment citation: windows linux containers esxi",privilege-escalation
"backup software discovery adversaries may attempt to get a listing of backup software or configurations that are installed on a system adversaries may use this information to shape follow on behaviors, such as data destruction inhibit system recovery or data encrypted for impact comm windows macos linux",discovery
shortcut modification adversaries may create or modify shortcuts that can execute a program during system boot or user login shortcuts or symbolic links are used to reference other files or programs that will be opened or executed when the shortcut is clicked or executed by a system startup process adversaries may abuse shortcuts in the startup folder to execute their tools and achieve persistence citation: shortcu windows,persistence
shortcut modification adversaries may create or modify shortcuts that can execute a program during system boot or user login shortcuts or symbolic links are used to reference other files or programs that will be opened or executed when the shortcut is clicked or executed by a system startup process adversaries may abuse shortcuts in the startup folder to execute their tools and achieve persistence citation: shortcu windows,privilege-escalation
"application window discovery adversaries may attempt to get a listing of open application windows window listings could convey information about how the system is used citation: prevailion darkwatchman 2021 for example, information about application windows could be used identify potential data to collect as well as identifying security tooling security software discovery linux macos windows",discovery
"systemctl adversaries may abuse systemctl to execute commands or programs systemctl is the primary interface for systemd, the linux init system and service manager typically invoked from a shell, systemctl can also be integrated into scripts or applications adversaries may use systemctl to execute commands or programs as systemd service common subcom linux",execution
"email account adversaries may attempt to get a listing of email addresses and accounts adversaries may try to dump exchange address lists such as global address lists gals citation: microsoft exchange address lists in on premises exchange and exchange online, the <code>get globaladdresslist< code> powershell cmdlet can be used to obtain email addresses and accounts from a domain using an authenticated ses windows office suite",discovery
"time based checks adversaries may employ various time based methods to detect virtualization and analysis environments, particularly those that attempt to manipulate time mechanisms to simulate longer elapses of time this may include enumerating time based properties, such as uptime or the system clock adversaries may use calls like and to discover if they are operating linux macos windows",defense-evasion
"time based checks adversaries may employ various time based methods to detect virtualization and analysis environments, particularly those that attempt to manipulate time mechanisms to simulate longer elapses of time this may include enumerating time based properties, such as uptime or the system clock adversaries may use calls like and to discover if they are operating linux macos windows",discovery
cmstp adversaries may abuse cmstp to proxy execution of malicious code the microsoft connection manager profile installer cmstp exe is a command line program used to install connection manager service profiles citation: microsoft connection manager oct 2009 cmstp exe accepts an installation information file inf as a parameter and installs a service profile leveraged for remote access connections windows,defense-evasion
"ssh hijacking adversaries may hijack a legitimate user's ssh session to move laterally within an environment secure shell ssh is a standard means of remote access on linux and macos systems it allows a user to connect to another system via an encrypted tunnel, commonly authenticating through a password, certificate or the use of an asymmetric encryption key pair in order to move laterally from a compromis linux macos",lateral-movement
"scheduled transfer adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals this could be done to blend traffic patterns with normal activity or availability when scheduled exfiltration is used, other exfiltration techniques likely apply as well to transfer the information out of the network, such as exfiltration over c2 channel linux macos windows",exfiltration
"smb windows admin shares adversaries may use valid accounts to interact with a remote network share using server message block smb the adversary may then perform actions as the logged on user smb is a file, printer, and serial port sharing protocol for windows machines on the same network or domain adversaries may use smb to interact with file shares, allowing them to mov windows",lateral-movement
"implant internal image adversaries may implant cloud or container images with malicious code to establish persistence after gaining access to an environment amazon web services aws amazon machine images amis , google cloud platform gcp images, and azure images as well as popular container runtimes such as docker can be implanted or backdoored unlike upload malware iaas containers",persistence
protocol tunneling adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid detection network filtering and or enable access to otherwise unreachable systems tunneling involves explicitly encapsulating a protocol within another this behavior may conceal malicious traffic by blending in with existing traffic and or provide an outer layer of encryption similar to esxi linux macos windows,command-and-control
"control panel adversaries may abuse control exe to proxy execution of malicious payloads the windows control panel process binary control exe handles execution of control panel items, which are utilities that allow users to view and adjust computer settings control panel items are registered executable exe or control panel cpl files, the latter are actually renamed dynamic link library dll files t windows",defense-evasion
network address translation traversal adversaries may bridge network boundaries by modifying a network device’s network address translation nat configuration malicious modifications to nat may enable an adversary to bypass restrictions on traffic routing that otherwise separate trusted and untrusted networks network devices such as routers and firewalls that connect multiple networks together may implement nat during the process network devices,defense-evasion
"upload tool adversaries may upload tools to third party or adversary controlled infrastructure to make it accessible during targeting tools can be open or closed source, free or commercial tools can be used for malicious purposes by an adversary, but unlike malware were not intended to be used for those purposes ex: psexec adversaries may upload tools to suppo pre",resource-development
"security support provider adversaries may abuse security support providers ssps to execute dlls when the system boots windows ssp dlls are loaded into the local security authority lsa process at system start once loaded into the lsa, ssp dlls have access to encrypted and plaintext passwords that are stored in windows, such as any logged on user's domain password or smart card pins the ssp configuration is stored in windows",persistence
"security support provider adversaries may abuse security support providers ssps to execute dlls when the system boots windows ssp dlls are loaded into the local security authority lsa process at system start once loaded into the lsa, ssp dlls have access to encrypted and plaintext passwords that are stored in windows, such as any logged on user's domain password or smart card pins the ssp configuration is stored in windows",privilege-escalation
"overwrite process arguments adversaries may modify a process's in memory arguments to change its name in order to appear as a legitimate or benign process on linux, the operating system stores command line arguments in the process’s stack and passes them to the function as the array the first element, , typically contains the process name or path by default, the command used to actually start the linux",defense-evasion
"use alternate authentication material adversaries may use alternate authentication material, such as password hashes, kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls authentication processes generally require a valid identity e g , username along with one or more authentication factors e g , password, pin, physical smart card, token genera containers iaas identity provider linux office suite saas windows",lateral-movement
"threat intel vendors adversaries may search private data from threat intelligence vendors for information that can be used during targeting threat intelligence vendors may offer paid feeds or portals that offer more data than what is publicly reported although sensitive details such as customer names and other identifiers may be redacted, this information may contain trends regarding breaches such as target indust pre",reconnaissance
"exfiltration over other network medium adversaries may attempt to exfiltrate data over a different network medium than the command and control channel if the command and control network is a wired internet connection, the exfiltration may occur, for example, over a wifi connection, modem, cellular data connection, bluetooth, or another radio frequency rf channel adversaries may choose to do this if they have sufficient access or p linux macos windows",exfiltration
"network device configuration dump adversaries may access network configuration files to collect sensitive data about the device and the network the network configuration is a file containing parameters that determine the operation of the device the device typically stores an in memory copy of the configuration while operating, and a separate configuration on non volatile storage to load after device reset adversaries can inspec network devices",collection
"gather victim identity information adversaries may gather information about the victim's identity that can be used during targeting information about identities may include a variety of details, including personal data ex: employee names, email addresses, security question responses, etc as well as sensitive details such as credentials or multi factor authentication mfa configurations adversaries may gather this information pre",reconnaissance
archive collected data an adversary may compress and or encrypt data that is collected prior to exfiltration compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network citation: doj gru indictment jul 2018 encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender bot linux macos windows,collection
"sip and trust provider hijacking adversaries may tamper with sip and trust provider components to mislead the operating system and application control tools when conducting signature validation checks in user mode, windows authenticode citation: microsoft authenticode digital signatures are used to verify a file's origin and integrity, variables that may be used to establish trust in signed code ex: a driver with a valid micr windows",defense-evasion
"browser session hijacking adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user behaviors, and intercept information as part of various browser session hijacking techniques citation: wikipedia man in the browser a specific example is when an adversary injects software into a browser that allows them to inherit cookies, http sessions, and windows",collection
"remote services adversaries may use valid accounts to log into a service that accepts remote connections, such as telnet, ssh, and vnc the adversary may then perform actions as the logged on user in an enterprise environment, servers and workstations can be organized into domains domains provide centralized identity management, allowing users to login using one set linux macos windows iaas esxi",lateral-movement
"mail protocols adversaries may communicate using application layer protocols associated with electronic mail delivery to avoid detection network filtering by blending in with existing traffic commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server protocols such as smtp s, pop3 s, and imap that carry electronic mail ma linux macos network devices windows",command-and-control
"hybrid identity adversaries may patch, modify, or otherwise backdoor cloud authentication processes that are tied to on premises user identities in order to bypass typical authentication mechanisms, access credentials, and enable persistent access to accounts many organizations maintain hybrid user and device identities that are shared between on premises and cloud based environments these can be maintained iaas identity provider office suite saas windows",defense-evasion
"hybrid identity adversaries may patch, modify, or otherwise backdoor cloud authentication processes that are tied to on premises user identities in order to bypass typical authentication mechanisms, access credentials, and enable persistent access to accounts many organizations maintain hybrid user and device identities that are shared between on premises and cloud based environments these can be maintained iaas identity provider office suite saas windows",persistence
"hybrid identity adversaries may patch, modify, or otherwise backdoor cloud authentication processes that are tied to on premises user identities in order to bypass typical authentication mechanisms, access credentials, and enable persistent access to accounts many organizations maintain hybrid user and device identities that are shared between on premises and cloud based environments these can be maintained iaas identity provider office suite saas windows",credential-access
vulnerability scanning adversaries may scan victims for vulnerabilities that can be used during targeting vulnerability scans typically check if the configuration of a target host application ex: software and version potentially aligns with the target of a specific exploit the adversary may seek to use these scans may also include more broad attempts to gather victim host information pre,reconnaissance
"cloud api adversaries may abuse cloud apis to execute malicious commands apis available in cloud environments provide various functionalities and are a feature rich method for programmatic access to nearly all aspects of a tenant these apis may be utilized through various methods such as command line interpreters clis , in browser cloud shells, powershell iaas identity provider office suite saas",execution
"search open technical databases adversaries may search freely available technical databases for information about victims that can be used during targeting information about victims may be available in online databases and repositories, such as registrations of domains certificates as well as public collections of network data artifacts gathered from traffic and or scans citation: whois citation: dns dumpster citation: circl pre",reconnaissance
"electron applications adversaries may abuse components of the electron framework to execute malicious code the electron framework hosts many common applications such as signal, slack, and microsoft teams citation: electron 2 originally developed by github, electron is a cross platform desktop application development framework that employs web technologies like javascript, html, and css citation: electron 3 the chr linux macos windows",defense-evasion
"rogue domain controller adversaries may register a rogue domain controller to enable manipulation of active directory data dcshadow may be used to create a rogue domain controller dc dcshadow is a method of manipulating active directory ad data, including objects and schemas, by registering or reusing an inactive registration and simulating the behavior of a dc citation: dcshadow blog once registered, a rogue windows",defense-evasion
"code signing policy modification adversaries may modify code signing policies to enable execution of unsigned or self signed code code signing provides a level of authenticity on a program from a developer and a guarantee that the program has not been tampered with security controls can include enforcement mechanisms to ensure that only valid, signed code can be run on an operating system some of these security controls may macos windows",defense-evasion
"deploy container adversaries may deploy a container into an environment to facilitate execution or evade defenses in some cases, adversaries may deploy a new container to execute processes associated with a particular image or deployment, such as processes that execute or download malware in others, an adversary may deploy a new container configured without network rules, user limitations, etc to bypass existin containers",execution
"modify registry adversaries may interact with the windows registry as part of a variety of other techniques to aid in defense evasion, persistence, and execution access to specific areas of the registry depends on account permissions, with some keys requiring administrator level access the built in windows command line utility reg may be used for local or remote regis windows",defense-evasion
"modify registry adversaries may interact with the windows registry as part of a variety of other techniques to aid in defense evasion, persistence, and execution access to specific areas of the registry depends on account permissions, with some keys requiring administrator level access the built in windows command line utility reg may be used for local or remote regis windows",persistence
"launch daemon adversaries may create or modify launch daemons to execute malicious payloads as part of persistence launch daemons are plist files used to interact with launchd, the service management framework used by macos launch daemons require elevated privileges to install, are executed for every user on a system prior to login, and run in the background without the need for user interaction during the m macos",persistence
"launch daemon adversaries may create or modify launch daemons to execute malicious payloads as part of persistence launch daemons are plist files used to interact with launchd, the service management framework used by macos launch daemons require elevated privileges to install, are executed for every user on a system prior to login, and run in the background without the need for user interaction during the m macos",privilege-escalation
"cloud infrastructure discovery an adversary may attempt to discover infrastructure and resources that are available within an infrastructure as a service iaas environment this includes compute service resources such as instances, virtual machines, and snapshots as well as resources of other services including the storage and database services cloud providers offer methods such as apis and commands issued through clis to se iaas",discovery
"credentials from web browsers adversaries may acquire credentials from web browsers by reading files specific to the target browser citation: talos olympic destroyer 2018 web browsers commonly save credentials such as website usernames and passwords so that they do not need to be entered manually in the future web browsers typically store the credentials in an encrypted format within a credential store; however, methods exi linux macos windows",credential-access
"path interception by search order hijacking adversaries may execute their own malicious payloads by hijacking the search order used to load other programs because some programs do not call other programs using the full path, adversaries may place their own file in the directory where the calling program is located, causing the operating system to launch their malicious software at the request of the calling program search order hijacking windows",defense-evasion
"path interception by search order hijacking adversaries may execute their own malicious payloads by hijacking the search order used to load other programs because some programs do not call other programs using the full path, adversaries may place their own file in the directory where the calling program is located, causing the operating system to launch their malicious software at the request of the calling program search order hijacking windows",execution
"defacement adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content reasons for defacement include delivering messaging, intimidation, or claiming possibly false credit for an intrusion disturbing or offensive images may be used as a part of defacement windows iaas linux macos esxi",impact
"unused unsupported cloud regions adversaries may create cloud instances in unused geographic service regions in order to evade detection access is usually obtained through compromising accounts used to manage cloud infrastructure cloud service providers often provide infrastructure throughout the world in order to improve performance, provide redundancy, and allow customers to meet compliance requirements oftentimes, a custom iaas",defense-evasion
"dhcp spoofing adversaries may redirect network traffic to adversary owned systems by spoofing dynamic host configuration protocol dhcp traffic and acting as a malicious dhcp server on the victim network by achieving the adversary in the middle aitm position, adversaries may collect network communications, including passed credentials, especially those sent over insecure, unencrypted protocols this may als linux windows macos",credential-access
"dhcp spoofing adversaries may redirect network traffic to adversary owned systems by spoofing dynamic host configuration protocol dhcp traffic and acting as a malicious dhcp server on the victim network by achieving the adversary in the middle aitm position, adversaries may collect network communications, including passed credentials, especially those sent over insecure, unencrypted protocols this may als linux windows macos",collection
"remote service session hijacking adversaries may take control of preexisting sessions with remote services to move laterally in an environment users may use valid credentials to log into a service specifically designed to accept remote connections, such as telnet, ssh, and rdp when a user logs into a service, a session will be established that will allow them to maintain a continuous interaction with that service adversaries linux macos windows",lateral-movement
"bind mounts adversaries may abuse bind mounts on file structures to hide their activity and artifacts from native utilities a bind mount maps a directory or file from one location on the filesystem to another, similar to a shortcut on windows it’s commonly used to provide access to specific files or directories across different environments, such as inside containers or chroot environments, and requires sud linux",defense-evasion
"binary padding adversaries may use binary padding to add junk data and change the on disk representation of malware this can be done without affecting the functionality or behavior of a binary, but can increase the size of the binary beyond what some security tools are capable of handling due to file size limitations binary padding effectively changes the checksum of the file and can also be used to avoid ha linux macos windows",defense-evasion
web shell adversaries may backdoor web servers with web shells to establish persistent access to systems a web shell is a web script that is placed on an openly accessible web server to allow an adversary to access the web server as a gateway into a network a web shell may provide a set of functions to execute or a command line interface on the system that hosts the web server citation: volexity 0day sop linux macos network devices windows,persistence
"group policy modification adversaries may modify group policy objects gpos to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain group policy allows for centralized management of user and computer settings in active directory ad gpos are containers for group policy settings made up of files stored within a predictable network path `\<doma windows",defense-evasion
"group policy modification adversaries may modify group policy objects gpos to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain group policy allows for centralized management of user and computer settings in active directory ad gpos are containers for group policy settings made up of files stored within a predictable network path `\<doma windows",privilege-escalation
"clear linux or mac system logs adversaries may clear system logs to hide evidence of an intrusion macos and linux both keep track of system or user initiated actions via system logs the majority of native system logging is stored under the directory subfolders in this directory categorize logs by their related functions, such as: citation: linux logs * : general and system related messages * linux macos",defense-evasion
"browser information discovery adversaries may enumerate information about browsers to learn more about compromised environments data saved by browsers such as bookmarks, accounts, and browsing history may reveal a variety of personal information about users e g , banking sites, relationships interests, social media, etc as well as details about internal network resources such as servers, tools dashboards, or other relate linux macos windows",discovery
"private keys adversaries may search for private key certificate files on compromised systems for insecurely stored credentials private cryptographic keys and certificates are used for authentication, encryption decryption, and digital signatures citation: wikipedia public key crypto common key and certificate file extensions include: key, pgp, gpg, ppk , p12, pem, pfx, cer, p7b, asc adversaries linux macos network devices windows",credential-access
"server adversaries may buy, lease, rent, or obtain physical servers that can be used during targeting use of servers allows an adversary to stage, launch, and execute an operation during post compromise activity, adversaries may utilize servers for various tasks, such as watering hole operations in drive by compromise enabling phishing pre",resource-development
"windows remote management adversaries may use valid accounts to interact with remote systems using windows remote management winrm the adversary may then perform actions as the logged on user winrm is the name of both a windows service and a protocol that allows a user to interact with a remote system e g , run an executable, modify the registry, modify services citation windows",lateral-movement
"exfiltration over bluetooth adversaries may attempt to exfiltrate data over bluetooth rather than the command and control channel if the command and control network is a wired internet connection, an adversary may opt to exfiltrate data using a bluetooth communication channel adversaries may choose to do this if they have sufficient access and proximity bluetooth connections might not be secured or defended as well as th linux macos windows",exfiltration
"default accounts adversaries may obtain and abuse credentials of a default account as a means of gaining initial access, persistence, privilege escalation, or defense evasion default accounts are those that are built into an os, such as the guest or administrator accounts on windows systems default accounts also include default factory provider set accounts on other types of systems, software, or devices, includ containers esxi iaas identity provider linux macos network devices office suite saas windows",defense-evasion
"default accounts adversaries may obtain and abuse credentials of a default account as a means of gaining initial access, persistence, privilege escalation, or defense evasion default accounts are those that are built into an os, such as the guest or administrator accounts on windows systems default accounts also include default factory provider set accounts on other types of systems, software, or devices, includ containers esxi iaas identity provider linux macos network devices office suite saas windows",persistence
"default accounts adversaries may obtain and abuse credentials of a default account as a means of gaining initial access, persistence, privilege escalation, or defense evasion default accounts are those that are built into an os, such as the guest or administrator accounts on windows systems default accounts also include default factory provider set accounts on other types of systems, software, or devices, includ containers esxi iaas identity provider linux macos network devices office suite saas windows",privilege-escalation
"default accounts adversaries may obtain and abuse credentials of a default account as a means of gaining initial access, persistence, privilege escalation, or defense evasion default accounts are those that are built into an os, such as the guest or administrator accounts on windows systems default accounts also include default factory provider set accounts on other types of systems, software, or devices, includ containers esxi iaas identity provider linux macos network devices office suite saas windows",initial-access
